mpi,opt,opt_name,fep,total
28,1, fgmres,3242.854,3912
28,1, fgmres,3250.289,3922.3
28,1, fgmres,3225.575,3891.8
28,1, fgmres,3230.41,3899.2
28,1, fgmres,3240.351,3909
28,1, fgmres,3230.881,3900.3
28,1, fgmres,3220.934,3889.7
28,1, fgmres,3241.458,3909.4
28,1, fgmres,3221.711,3889
28,1, fgmres,3233.094,3906.6
28,2, gmres,3302.201,3969
28,2, gmres,3284.296,3951.7
28,2, gmres,3279.867,3945.6
28,2, gmres,3286.723,3957.2
28,2, gmres,3281.517,3950.2
28,2, gmres,3298.73,3969.4
28,2, gmres,3298.256,3964.5
28,2, gmres,3289.479,3955.3
28,2, gmres,3285.11,3951.9
28,2, gmres,3302.222,3968.9
28,3, cg,3153.197,3827.7
28,3, cg,3164.067,3838.3
28,3, cg,3145.796,3816.3
28,3, cg,3154.785,3822.7
28,3, cg,3150.655,3819
28,3, cg,3138.74,3806.6
28,3, cg,3151.984,3820.9
28,3, cg,3148.662,3817.3
28,3, cg,3150.424,3819.2
28,3, cg,3146.879,3814.9
28,4, cgs,3632.748,4302.2
28,4, cgs,3616.97,4283.9
28,4, cgs,3620.832,4287.1
28,4, cgs,3623.21,4289.9
28,4, cgs,3621.885,4290.1
28,4, cgs,3620.465,4287.6
28,4, cgs,3607.761,4278.9
28,4, cgs,3623.486,4291
28,4, cgs,3614.138,4280.3
28,4, cgs,3627.034,4296.8
28,5, bcgs,3289.526,3958.3
28,5, bcgs,3283.334,3951.4
28,5, bcgs,3273.065,3943.1
28,5, bcgs,3290.95,3960.3
28,5, bcgs,3273.377,3939.2
28,5, bcgs,3275.569,3942.7
28,5, bcgs,3275.012,3942.2
28,5, bcgs,3270.099,3938
28,5, bcgs,3285.133,3951.9
28,5, bcgs,3291.65,4000.8
28,6,NA,3301.612,3970.8
28,6,NA,3293.689,3960.4
28,6,NA,3306.394,3973.7
28,6,NA,3317.371,3985.5
28,6,NA,3302.829,3973.7
28,6,NA,3306.956,3974.3
28,6,NA,3298.764,3966.1
28,6,NA,3304.912,3972.3
28,6,NA,3306.659,3973.6
28,6,NA,3292.02,3957.6
56,1, fgmres,1484.783,1823.3
56,1, fgmres,1480.655,1818.3
56,1, fgmres,1480.71,1818.3
56,1, fgmres,1487.049,1821.4
56,1, fgmres,1493.149,1828
56,1, fgmres,1477.481,1812.9
56,1, fgmres,1483.939,1818.4
56,1, fgmres,1475.18,1809.4
56,1, fgmres,1483.696,1818.7
56,1, fgmres,1484.551,1818.9
56,2, gmres,1508.716,1845.6
56,2, gmres,1506.047,1842.8
56,2, gmres,1505.361,1841.6
56,2, gmres,1508.495,1842.9
56,2, gmres,1500.082,1835
56,2, gmres,1504.86,1839.7
56,2, gmres,1503.536,1838.6
56,2, gmres,1510.13,1844.3
56,2, gmres,1505.692,1840.6
56,2, gmres,1501.331,1837.5
56,3, cg,1581.916,1918.7
56,3, cg,1580.117,1917.1
56,3, cg,1578.489,1913.3
56,3, cg,1582.988,1918
56,3, cg,1581.919,1916.8
56,3, cg,1584.829,1920
56,3, cg,1587.548,1922.4
56,3, cg,1579.466,1921
56,3, cg,1579.823,1915
56,3, cg,1581.127,1916
56,4, cgs,1852.003,2187.1
56,4, cgs,1839.637,2174.5
56,4, cgs,1833.872,2169.5
56,4, cgs,1843.253,2178.3
56,4, cgs,1847.083,2184.1
56,4, cgs,1842.31,2177.7
56,4, cgs,1841.847,2177.6
56,4, cgs,1834.511,2169.3
56,4, cgs,1846.104,2180.5
56,4, cgs,1850.065,2183.2
56,5, bcgs,1656.448,1993.3
56,5, bcgs,1666.47,2003
56,5, bcgs,1664.938,2000.4
56,5, bcgs,1655.716,1990.8
56,5, bcgs,1653.375,1988.4
56,5, bcgs,1657.522,1992.5
56,5, bcgs,1656.13,1990.9
56,5, bcgs,1658.539,1995.5
56,5, bcgs,1659.588,1995.7
56,5, bcgs,1657.761,1996.2
56,6,NA,1510.991,1846.6
56,6,NA,1509.947,1845.8
56,6,NA,1513.965,1849.9
56,6,NA,1508.995,1844.9
56,6,NA,1507.546,1842.3
56,6,NA,1513.942,1848.2
56,6,NA,1504.252,1840.1
56,6,NA,1507.957,1844.3
56,6,NA,1512.21,1847.3
56,6,NA,1514.382,1849.3
140,1, fgmres,695.264,841.37
140,1, fgmres,689.823,831.83
140,1, fgmres,705.048,847.07
140,1, fgmres,723.594,865.55
140,1, fgmres,683.294,829.5
140,1, fgmres,690.002,832.07
140,1, fgmres,701.989,843.94
140,1, fgmres,714.269,857.6
140,1, fgmres,699.705,841.51
140,1, fgmres,704.417,845.93
140,2, gmres,734.894,879.52
140,2, gmres,702.084,844.06
140,2, gmres,732.829,874.76
140,2, gmres,707.754,849.4
140,2, gmres,701.828,848.27
140,2, gmres,701.12,843.33
140,2, gmres,735.623,877.33
140,2, gmres,665.073,806.64
140,2, gmres,729.816,872.55
140,2, gmres,703.392,845.27
140,3, cg,712.402,856.93
140,3, cg,712.324,854.26
140,3, cg,725.142,867.35
140,3, cg,712.398,854.04
140,3, cg,725.788,872.47
140,3, cg,713.713,856.38
140,3, cg,709.918,851.92
140,3, cg,706.032,847.86
140,3, cg,697.099,838.83
140,3, cg,697.534,839.21
140,4, cgs,952.399,1098.7
140,4, cgs,862.722,1005
140,4, cgs,846.799,988.97
140,4, cgs,832.375,977.56
140,4, cgs,953.461,1095.3
140,4, cgs,863.776,1006.6
140,4, cgs,812.964,956.47
140,4, cgs,871.576,1013.7
140,4, cgs,867.745,1010.3
140,4, cgs,862.969,1005
140,5, bcgs,825.234,971.82
140,5, bcgs,789.234,930.78
140,5, bcgs,798.973,941.24
140,5, bcgs,797.32,940.06
140,5, bcgs,783.012,930.3
140,5, bcgs,776.138,918.05
140,5, bcgs,786.845,929.67
140,5, bcgs,788.389,931.09
140,5, bcgs,808.414,950.36
140,5, bcgs,782.767,924.4
140,6,NA,700.775,845.84
140,6,NA,735.121,878.25
140,6,NA,756.281,898.25
140,6,NA,702.599,844.66
140,6,NA,734.471,880.99
140,6,NA,736.815,878.5
140,6,NA,663.388,805.45
140,6,NA,725.242,866.64
140,6,NA,738.088,880.56
140,6,NA,721.472,863.63
196,1, fgmres,576.068,682.17
196,1, fgmres,578.075,681.83
196,1, fgmres,575.438,678.86
196,1, fgmres,574.137,677.55
196,1, fgmres,575.017,678.19
196,1, fgmres,573.594,677.42
196,1, fgmres,575.436,680.63
196,1, fgmres,580.338,684.06
196,1, fgmres,577.539,681.2
196,1, fgmres,577.277,680.81
196,2, gmres,588.184,694.28
196,2, gmres,589.088,692.16
196,2, gmres,589.92,693.23
196,2, gmres,589.828,692.99
196,2, gmres,589.384,692.99
196,2, gmres,592.466,695.82
196,2, gmres,589.576,693.28
196,2, gmres,585.005,688.13
196,2, gmres,588.92,692.31
196,2, gmres,587.879,690.91
196,3, cg,555.659,662.07
196,3, cg,553.871,657.1
196,3, cg,556.393,659.91
196,3, cg,560.554,663.76
196,3, cg,555.335,658.59
196,3, cg,554.639,658.02
196,3, cg,556.256,659.29
196,3, cg,555.149,658.93
196,3, cg,555.014,657.97
196,3, cg,555.421,658.57
196,4, cgs,620.769,729.52
196,4, cgs,617.956,721.33
196,4, cgs,617.284,720.91
196,4, cgs,621.137,724.92
196,4, cgs,617.334,723.22
196,4, cgs,615.709,719.16
196,4, cgs,617.988,721.27
196,4, cgs,621.478,725.02
196,4, cgs,619.241,723.88
196,4, cgs,625.947,729.16
196,5, bcgs,562.11,668.68
196,5, bcgs,563.171,667.17
196,5, bcgs,560.811,664.24
196,5, bcgs,563.198,666.56
196,5, bcgs,564.321,667.5
196,5, bcgs,561.357,664.8
196,5, bcgs,562.589,665.68
196,5, bcgs,560.306,663.83
196,5, bcgs,565.756,669.11
196,5, bcgs,562.316,665.76
196,6,NA,595.287,703.58
196,6,NA,589.723,694.13
196,6,NA,593.066,696.71
196,6,NA,592.225,695.87
196,6,NA,589.455,693.47
196,6,NA,589.367,692.83
196,6,NA,594.739,698.1
196,6,NA,590.313,693.82
196,6,NA,588.924,692.33
196,6,NA,589.377,697.62
392,1, fgmres,891.831,949.43
392,1, fgmres,874.731,928.79
392,1, fgmres,841.298,894.68
392,1, fgmres,877.106,930.68
392,1, fgmres,866.641,919.83
392,1, fgmres,903.201,957
392,1, fgmres,888.836,942.1
392,1, fgmres,875.801,929.57
392,1, fgmres,896.271,949.82
392,1, fgmres,780.785,833.99
392,2, gmres,816.241,871.41
392,2, gmres,804.289,857.56
392,2, gmres,863.214,923.17
392,2, gmres,807.891,861.61
392,2, gmres,870.499,925.88
392,2, gmres,814.235,867.7
392,2, gmres,866.372,920.29
392,2, gmres,862.676,916.26
392,2, gmres,900.992,954.12
392,2, gmres,798.019,852.3
392,3, cg,849.31,904.86
392,3, cg,850.889,904.36
392,3, cg,887.381,941.12
392,3, cg,840.742,894.31
392,3, cg,862.311,916.89
392,3, cg,847.347,901.17
392,3, cg,845.516,898.83
392,3, cg,870.222,923.8
392,3, cg,880.974,934.5
392,3, cg,853.432,907.68
392,4, cgs,1024.23,1081
392,4, cgs,998.646,1052
392,4, cgs,988.016,1042.1
392,4, cgs,1062.865,1116.7
392,4, cgs,989.239,1043.2
392,4, cgs,1063.555,1118.4
392,4, cgs,992.526,1046.1
392,4, cgs,1006.473,1059.7
392,4, cgs,1010.239,1064
392,4, cgs,989.286,1042.8
392,5, bcgs,943.874,999.08
392,5, bcgs,937.276,990.68
392,5, bcgs,930.676,984.07
392,5, bcgs,926.179,979.62
392,5, bcgs,909.479,962.96
392,5, bcgs,891.826,945.03
392,5, bcgs,944.449,997.56
392,5, bcgs,901.937,955.66
392,5, bcgs,891.151,945.25
392,5, bcgs,948.353,1007.4
392,6,NA,937.011,993.04
392,6,NA,899.268,954.26
392,6,NA,894.009,947.88
392,6,NA,912.64,966.36
392,6,NA,895.673,949.45
392,6,NA,879.339,932.89
392,6,NA,887.401,941.2
392,6,NA,805.505,859.57
392,6,NA,902.669,956.32
392,6,NA,803.445,856.92
784,1, fgmres,1495.202,1529.7
784,1, fgmres,1460.496,1493.6
784,1, fgmres,1478.257,1511.6
784,1, fgmres,1477.704,1511.4
784,1, fgmres,1471.052,1503.9
784,1, fgmres,1469.728,1503.6
784,1, fgmres,1457.721,1490.7
784,1, fgmres,1453.384,1487.3
784,1, fgmres,1466.044,1500
784,1, fgmres,1483.265,1517.1
784,2, gmres,1453.279,1488.3
784,2, gmres,1483.176,1517.1
784,2, gmres,1429.238,1463.4
784,2, gmres,1420.578,1454.3
784,2, gmres,1427.151,1461.6
784,2, gmres,1430.382,1464.6
784,2, gmres,1462.739,1496.7
784,2, gmres,1467.527,1502.2
784,2, gmres,1436.607,1471.1
784,2, gmres,1442.805,1477.4
784,3, cg,1456.499,1491.6
784,3, cg,1431.885,1465.1
784,3, cg,1434.667,1467.5
784,3, cg,1445.797,1480.1
784,3, cg,1460.139,1493.4
784,3, cg,1483.094,1517.2
784,3, cg,1484.216,1518.5
784,3, cg,1464.801,1497.6
784,3, cg,1478.654,1511.9
784,3, cg,1424.695,1457.7
784,4, cgs,1827.56,1862.2
784,4, cgs,1823.937,1857.2
784,4, cgs,1810.337,1843.1
784,4, cgs,1805.45,1837.8
784,4, cgs,1839.306,1871.3
784,4, cgs,1816.875,1852.9
784,4, cgs,1602.907,1635.4
784,4, cgs,1687.345,1719.9
784,4, cgs,1624.761,1658.1
784,4, cgs,1830.483,1863
784,5, bcgs,1503.234,1538.2
784,5, bcgs,1621.113,1653.8
784,5, bcgs,1463.7,1497.3
784,5, bcgs,1433.082,1465.3
784,5, bcgs,1636.885,1670.6
784,5, bcgs,1620.402,1653.9
784,5, bcgs,1441.932,1475.2
784,5, bcgs,1620.08,1654
784,5, bcgs,1618.185,1650.6
784,5, bcgs,1589.028,1622.3
784,6,NA,1443.424,1478.8
784,6,NA,1440.731,1473.6
784,6,NA,1460.906,1494.5
784,6,NA,1432.371,1465.1
784,6,NA,1458.308,1491.3
784,6,NA,1433.242,1465.8
784,6,NA,1441.539,1474.9
784,6,NA,1435.779,1469.3
784,6,NA,1473.226,1507
784,6,NA,1466.354,1499
